brahui	english	donor	frequency	native_alternatives
hakk o insáf	right and justice	Arabic	1	
hakkí	genuine	Arabic	1	
hál o kár	words and deed	Balochi	1	
hál-ávál	catching up	Balochi	2	
hamsáya	neighbor	Farsi	1	
hár	necklace	Hindi-Urdu	4	
harámí	unlawful	Arabic	1	
harámxor	villain	Arabic	1	
haşt	eight	Hindi-Urdu	5	
hattakaŕí	handcuffs	Hindi-Urdu	2	
havelí	courtyard	Arabic	2	
hayá	shame	Arabic	2	
hayádár	modest	Arabic	1	
hazár	thousand	Farsi	6	
hazgárí	richness	Farsi	1	
hazrat	prophet	Arabic	3	
híla-vasíla	device-means	Arabic	2	
hilál	halal	Arabic	13	
himmat	courage	Arabic	3	
hírá	diamond	Hindi-Urdu	1	
hiŕs	interest	Arabic	2	
hírvan	cocaine	English	1	
hisáb	account; count; share	Arabic	13	
hisáb-kitáb	affairs	Arabic	1	
hisp cil kurraí	mare with forty foals	Farsi	10	
hoŧal	hotel	English	1	
hukúmat	government	Arabic	1	
huşár	shrewd	Farsi	2	
idára	organization	Urdu	2	
ijázat	permission	Arabic	1	
iláhí	divine	Arabic	3	
iláka	area	Arabic	9	
ímándár	honest	Arabic, Farsi	1	
imtián	test	Arabic	7	
ins	human	Arabic	2	
insáf	justice	Arabic	3	
insán	human	Arabic	9	
intizár	waiting	Arabic	11	
intizárí	waiting	Arabic	1	
intzár	waiting	Arabic	1	
iráda	intention	Arabic	2	
írání	Iranian	Farsi	1	
iskúl	school	English	9	
istár	star	English	3	
istirí	iron	Hindi-Urdu	2	
ixbár	newspaper	Arabic	3	
ixtiyár	authority; option	Arabic	2	
izráíl	angel Izrail	Arabic	1	
izzat	honor	Arabic	2	
jác	test	Sindhi	2	
jaģar	liver	Farsi	2	
jah o jága	funeral; burial	Farsi	3	
jahání	global; international	Farsi	2	
jahí	settled	Balochi	2	
jallád	hangman	Farsi	6	
jańg o jadal	revenge and fight	Farsi	1	
jańgal	jungle	Sanskrit	12	
jannat	heaven	Arabic	4	
járo	broom	Hindi-Urdu	1	
jazíra	island	Arabic	1	
jeb	pocket	Urdu	6	
jel	jail	English	1	
jʰańgal	jungle	Sanskrit	1	
jihándída	experienced	Farsi	1	
jin	spirit	Arabic	19	
jitá	separate	Farsi	7	
jitá	on the other hand	Farsi	1	
jo	stream	Farsi	10	
jol	cloth	Hindi-Urdu	1	
jolí	cloth	Hindi-Urdu	3	
joŕa	outfit; set of dress	Hindi-Urdu	2	
juání	goodness	Balochi	2	
juft	twin	Farsi	1	
julav	attack	Balochi	4	
jumma	Friday	Arabic	1	
jummá	Friday	Arabic	10	
jup	jump	English	6	
kabar	grave	Arabic	1	
kabr	grave	Arabic	3	
kabristán	cemetery	Arabic	1	
kacca	made of mud	Hindi-Urdu	1	
kadar	value; importance	Arabic	6	
kaed	confinement; prisoner	Arabic	1	
kaedí	prisoner	Arabic	0	
kaencí	scissors	Urdu	3	
kaez	jail	Arabic	1	
káf	Qaf	Arabic	1	
káfar	heretic	Arabic	1	
káģad	paper; document	Farsi	8	
káinát	universe	Arabic	3	
kaldár	kaldar	Balochi	1	
kamál	surprising	Arabic	1	
kamán	bow	Farsi	0	
kamáş	greyhaired; senior	Balochi	3	
kánúd	law	Arabic	1	
kaom	nation	Arabic	1	
kaoza	occupying	Arabic	3	
kaozagir	occupier	Arabic	1	
kár	car	English	3	
karfíú	curfew	English	2	
karíb	connections	Arabic	1	
kárinda	agent	Farsi	1	
kariyáb	out of order	Balochi	1	
kárváí	administration	Urdu	1	
kasam	oath	Arabic	9	
kásid	messenger	Arabic	12	
kast o káŕ	begrudger	Sindhi	1	
kaváb	kebab	Farsi	1	
kází	judge	Arabic	17	
kʰáj	wedding feast	Sindhi	3	
ki	COMP	Farsi	522	
kilba	Mecca	Arabic	1	
kirá	rental	Farsi	1	
kireŧ	crate	English	2	
kiŕkí	window	Hindi-Urdu	5	
kisib	skill	Farsi	1	
kismat	destiny; luck	Arabic	7	
kitáb	book	Arabic	6	
kitábí	provided in books	Arabic	1	
kiyámat	resurrection	Arabic	1	
kodak	innocent	Farsi	1	
kohjá	low; base; mean	Sindhi	1	
kors	course	English	1	
koşist	effort	Farsi	9	
kúca	street	Farsi	3	
kucak	dog	Balochi	47	
kuđđí	coop; stall	Sindhi	2	
kúlar	cooler	English	1	
kumak	support	Farsi	8	
kumakkár	supporter; protector	Farsi	1	
kurán	Qur'an	Arabic	13	
kuroŕpattí	billionaire	Hindi-Urdu	1	
kús	shirt	Arabic	4	
kustezan	jackass	Balochi	4	
kustizan	jackass	Balochi	3	
lácár	unsupported	Urdu	1	
láģar	skinny	Farsi	4	
láģarí	skinny	Farsi	2	
láix	suitable	Arabic	1	
láixí	ability	Arabic	1	
lak	lakh	Hindi-Urdu	5	
lálec	desire	Hindi-Urdu	3	
laoz	word	Arabic	1	
lárí	lorry	English	4	
lattáŕ-ińg	to trample	Hindi-Urdu	3	
leŧ	late	English	1	
levíz	levy	English	2	
liccax	mud	Balochi	1	
likk-ińg	to write	Hindi-Urdu	8	
lives	garment	Arabic	1	
luŧ	plunder	Hindi-Urdu	3	
mábat	affection	Arabic	4	
máda	female	Farsi	2	
madat	help	Arabic	4	
madrásí	Madras-style red	Hindi-Urdu	2	
maeva	fruit	Farsi	2	
máf	pardoned; waived	Arabic	4	
mafád	interest	Farsi	2	
mag	mug	English	1	
mahl	palace	Arabic	1	
majál	possible; impossible	Arabic	3	
maláik	angel	Arabic	1	
malańg	ascetic	Hindi-Urdu	17	
málik	lord; owner	Arabic	20	
malxmút	death angel	Arabic	1	
mámá	maternal uncle	Farsi	21	
maná	cancel	Arabic	1	
manşá	intention	Arabic	1	
manzúr	approved	Arabic	1	
masít	masjid; mosque	Arabic	2	
másŧar	teacher	English	1	
máşŧar	teacher	English	10	
másúm	innocent	Arabic	10	
másúm	infant	Arabic	0	
maşvara	consultation	Farsi	1	
masxat	goal; intention	Arabic	7	
maxalúk	people	Arabic	4	
maxlúk	people	Arabic	24	
maza-tíz	big fart	Balochi	1	
mazza	good	Farsi	1	
mazza	good taste	Farsi	1	
mazzil	storey	Arabic	1	
mazzúr	worker	Farsi	1	
mefal	night show	Arabic	1	
mefil	night show	Arabic	2	
mehl	palace	Arabic	4	
mehmán	guest	Farsi	4	
mehrabání	favor	Farsi	2	
mehrbán	benevolent	Farsi	6	
mela	festival	Hindi-Urdu	6	
memán	guest	Farsi	2	
memándár	host	Farsi	1	
memání	hospitality	Farsi	1	
míl	mile	Arabic	4	
mill-ińg	to meet; be available	Hindi-Urdu	14	
minnat	favor	Arabic	1	
minnatt o zárí	plea	Arabic	1	
minnatvár	grateful	Arabic	1	
minnatvárí	appreciation	Arabic	2	
minŧ	minute	English	2	
mírás	rich man and others; property	Arabic	2	
mişín	machine	English	1	
miŧŧú	parrot	Hindi-Urdu	23	
miyáú	meow	Hindi-Urdu	2	
mobáil	mobile handset	English	2	
mocaŕí	shoes	Hindi-Urdu	3	
mocí	cobbler	Hindi-Urdu	2	
mohlat	seeing off; extension	Arabic	2	
moka	occasion	Arabic	2	
mokal	permission; leave	Balochi	13	
mor	seal	Farsi	3	
mosam	weather	Arabic	2	
mosum	weather	Arabic	1	
motabar	headman	Arabic	1	
moŧal	vehicle	English	10	
mubárak	congratulated; blessed	Arabic	6	
mubárakbádí	congratulation	Arabic	10	
muddaí	claimant	Arabic	4	
muftí	gratis	Farsi	1	
mukábil	opposition	Arabic	1	
mukábila	opposition	Arabic	3	
mulk	country; field	Arabic	39	
mulk-bar mulk	from country to country	Arabic	0	
mullá	mullah	Arabic	20	
murád	goal	Arabic	2	
muŕdár	fail	Farsi	1	
musáfir	traveler	Arabic	5	
musalla	pray mat	Arabic	1	
musalmán	Muslim	Arabic	1	
musíbat	calamity	Arabic	1	
muşír	advisor	Arabic	1	
muşkil	difficult	Arabic	1	
musulmán	Muslim	Arabic	3	
muxbarí	spy	Farsi	1	
muzzúr	laborer	Farsi	2	
ná-ometí	disappointment; despair	Farsi	4	
nac	dance	Hindi-Urdu	1	
nác	dance	Hindi-Urdu	11	
naf	gain	Arabic	2	
nafl	nafl prayer	Arabic	2	
náhak	unjustly	Farsi	3	
náib	deputy	Arabic	12	
nájoŕ	sick	Balochi	5	
nájoŕí	sickness	Balochi	3	
nálí	sewage	Hindi-Urdu	1	
nambar	number	English	3	
nántám	kitchen work	Farsi	1	
naol-naol-aná	of various types	Arabic	1	
nar	male	Farsi	2	
narián	stallion	Farsi	5	
narína	male	Farsi	6	
nasíb	fate; luck	Arabic	3	
nasíbí	fortune	Arabic	1	
naváb	governor	Arabic	1	
názurk	delicate	Balochi	2	
nek	good	Farsi	1	
nekí	good deed	Farsi	11	
nemroc	midday	Balochi	6	
nest	poor	Farsi	1	
nífa	belt loop	Farsi	1	
nihál	sapling; young plant	Farsi	3	
niká	marriage ceremony	Arabic	18	
nimik	salt	Farsi	14	
nimik harám	traitor	Farsi, Arabic	1	
nişán	sign; showing	Farsi	3	
nişání	sign	Farsi	6	
niváz	prayer	Farsi	1	
nivişta	written	Balochi, Farsi	1	
níyat	intention	Arabic	1	
nizám	system	Arabic	2	
nizor	weak	Balochi	9	
noása	grandchild	Farsi	1	
nokarí	employment	Farsi	6	
noŧ	note	English	1	
nuksán	damage	Arabic	3	
numáz	prayer	Farsi	12	
núr	blessed	Arabic	1	
nusxán	harm; damage; loss	Arabic	5	
nuxsán	harm; damage; loss	Arabic	1	
oliád	offspring	Arabic	1	
oŧal	restaurant	English	1	
padgír	private eye	Balochi	1	
paedal	by foot	Hindi-Urdu	1	
paesila	decision	Arabic	1	
páida	benefit	Arabic	1	
pákí	razor	Farsi	1	
pakká	clear; evident; determined	Hindi-Urdu	8	
pakká	cement	Hindi-Urdu	1	
pakoŕá	fritter	Hindi-Urdu	2	
palásŧik	plastic	English	7	
paláşŧik	plastic	English	1	
pález	melon patch	Farsi	7	
pálezbán	melon patch owner	Farsi	3	
pallí	peanut	Hindi-Urdu	1	
pámdár	attentive	Balochi	1	
panc	five	Farsi	18	
pańjá	fifty	Farsi	7	
páńzda	fifteen	Farsi	1	
páp	sin	Sanskrit	1	
parańgí	British; Westerner	Farsi	7	
parca	report	Farsi	2	
paŕdadár	observing pardah	Farsi	1	
pardesí	foreigner	Hindi-Urdu	1	
parí	fairy	Farsi	110	
parra	wing	Farsi	3	
parx	difference	Arabic	3	
pás	section	Farsi	3	
pása	section	Farsi	1	
patlún	trousers	Urdu	1	
paŧŧ o pol	search	Balochi	1	
pávál	nomadic	Balochi	1	
paxír	wanderer	Arabic	6	
peŧí	box	Hindi-Urdu	2	
pinşin	pension	English	1	
pípal	name of a tree	Hindi-Urdu	1	
pír	temple	Farsi	1	
pír-zál	old-lady	Balochi	4	
píra-maŕd	old man	Farsi	5	
piráx	broad	Arabic	1	
píŕí	generation	Hindi-Urdu	2	
pişŧol	pistol	English	1	
piyála	cup	Farsi	5	
posŧ	post; position	English	4	
pul	plunder	Sindhi	0	
pulús	police	English	1	
pur-bahár	full of spring	Farsi	1	
pur-cas	full of interest	Balochi	1	
pur-mehr	full of love	Farsi	2	
rab	god	Arabic	3	
rabbaŕ	rubber	English	2	
ráda	sending	Balochi	3	
rág	drama	Hindi-Urdu	8	
raís	headman	Arabic	5	
ráj	dominion	Hindi-Urdu	4	
rakát	unit	Arabic	1	
rán	thigh	Farsi	10	
rańg	color; frustration	Farsi	13	
rasm	upbringing	Arabic	1	
ráşon	leader	Balochi	6	
rasúl	prophet	Arabic	8	
ravádár	tolerant	Farsi	1	
raxşa	rikshaw	English	1	
razá	will	Arabic	2	
reşmí	silken	Urdu	1	
ret list	price list	English	1	
rillí	blanket	Sindhi	5	
ríş	beard	Farsi	4	
rob	arrogance	Arabic	2	
rofa	weeding	Farsi	3	
roşan	bright	Farsi	4	
rozí	sustenance	Farsi	1	
rúpí	rupee	Hindi-Urdu	4	
ruppaí	rupee	Hindi-Urdu	20	
rúppí	rupee	Hindi-Urdu	4	
rusváí	disgraceful	Farsi	1	
rusxat	permission	Arabic	1	
ruxsat	farewell	Arabic	1	
sabar	calmness	Arabic	1	
sabax	lesson	Arabic	2	
sábún	soap	Arabic	1	
sad	hundred	Farsi	8	
şádkámí	pleasure	Farsi	1	
sadxa	sacrifice	Arabic	3	
saekal	bicycle	English	3	
sael	sight; cell battery	English	8	
saemár	cobra	Balochi	1	
şaer	poem; song	Arabic	15	
şaetán	Satan	Arabic	4	
şaezádí	royal	Farsi	1	
sáf	dawn; daybreak	Arabic	7	
safáí	sanitation	Urdu	1	
ság	spinach	Hindi-Urdu	1	
ságí	similar; same	Sindhi	3	
şahíd	martyr	Arabic	2	
şáhidí	witness	Arabic	1	
sahkandan	moribundity	Balochi	3	
şahzáda	prince	Farsi	5	
şakbar	suspicious	Arabic	1	
şakbíŕ	suspicious	Arabic	1	
sál	year	Farsi	41	
salám alek	may peace be upon you	Arabic	6	
salám alekum	may peace be upon you	Arabic	2	
salám válek	may peace be upon you too	Arabic	3	
salám-duá	hello and hi	Arabic	1	
salámí	salutation	Arabic	1	
şám	evening	Farsi	59	
samandar	sea	Hindi-Urdu	1	
sambál	watching	Hindi-Urdu	5	
sanad	certificate	Arabic	1	
şántul	a bird	Balochi	1	
şanza	heavy rain	Balochi	0	
saodágir	merchant	Farsi	14	
şaogír	all nighter	Balochi	1	
şaok	desire; hobby	Arabic	3	
şaońk	desire; hobby	Arabic	7	
saozí	vegetable	Farsi	2	
şar	good	Balochi	1	
şár	city; town	Farsi	57	
şár-válá	city resident	Farsi	5	
şara	Islamic law	Arabic	2	
şaraf	honor	Arabic	1	
sarbála	ascent	Balochi	1	
sardár	chief	Farsi	10	
sarhál	topic	Balochi	3	
şarhálí	satisfaction	Balochi	1	
sarkár	government	Farsi	1	
sarkárí	governmental	Urdu	2	
şarm	shame	Farsi	3	
sarpand	understood	Balochi	6	
sarsob	successful	Balochi	9	
sarsob mann-ińg	to be successful; pass an exam	Balochi	0	
sarsohb	successful	Balochi	1	
şaŕt	bet; condition	Arabic	57	
şaŕtí	gambling; related to bet	Arabic	4	
şaŕtí	gambler	Arabic	1	
sarzorí	ferocity	Farsi	1	
şaş	six	Balochi	21	
sátí	companion	Hindi-Urdu	1	
şátkámí	fervor	Farsi	1	
savál	question	Arabic	4	
saxávat	generosity	Arabic	1	
sáz	tune; melody	Farsi	9	
şázáda	prince	Farsi	2	
sekŧiríeŧ	secretariat	English	2	
ser	seer	English	14	
şer	lion	Farsi	3	
şer-zál	brave-lady	Farsi, Balochi	0	
seŧ	merchant; Hindu	Hindi-Urdu	3	
sí	30	Farsi	1	
sifat	praise	Arabic	3	
sifatt o saná	praise and profit	Arabic	1	
sigreŧ	cigarette	English	1	
şikárí	hunter	Farsi	1	
sína	chest	Farsi	9	
síńgár	grooming	Hindi-Urdu	2	
şíşa	glass	Farsi	2	
siyág	silhouette	Balochi	2	
sodágir	merchant	Farsi	1	
soj	inquiry	Balochi	19	
suál	question	Arabic	3	
suár	horseman	Farsi	2	
suárí	riding	Farsi	1	
subán alláh	glory to God	Arabic	6	
subʰán alláh	glory to God	Arabic	1	
súdo	with	Sindhi	1	
şukr	thanksgiving	Arabic	2	
şukur	thanksgiving	Arabic	1	
şúm	unlucky	Arabic	8	
sun	desolate	Hindi-Urdu	4	
sundúx	box	Arabic	1	
sunŧ	beak	Hindi-Urdu	6	
surna	flute	Farsi	1	
şurú kann-ińg	to begin	Arabic	2	
surxí	headline	Farsi	1	
sust	weak	Farsi	2	
táj	crown; crest	Arabic	2	
taklíf	obligation	Arabic	1	
talá	pond; land	Farsi	5	
taláp	pond	Farsi	9	
tálukdárí	relationship	Arabic	1	
tám	delicacy; feast	Arabic	2	
tamba	rafter	Pashto	1	
táńŕa	station	Hindi-Urdu	1	
táńzí	hound	Farsi	3	
taokal	venture; no difficulty	Arabic	7	
tappaí	class politics; sectionalism	Arabic	2	
taŕ	bath	Sindhi	1	
tár-tár	threadlike	Farsi	1	
taŕa	porch	Hindi-Urdu	1	
tarakkí	promotion	Arabic	1	
tarán	speech	Balochi	6	
tárík	date	Arabic	1	
táríx	date	Arabic	1	
taŕs	compassion	Hindi-Urdu	3	
tassallí	persuasion	Arabic	1	
táván	reparation	Farsi	2	
taxt	throne; crown	Farsi	4	
tayár	ready	Arabic	3	
tayárí	preparation	Farsi	1	
táza	fresh	Farsi	1	
tel	oil	Hindi-Urdu	14	
tez	fast; fierce; loud	Farsi	5	
thaŕa	porch	Hindi-Urdu	3	
thorav	thank	Sindhi	1	
tílí	burning	Hindi-Urdu	2	
tír	beam of the roof; arrow	Farsi	11	
tír-kamán	arrow and bow	Farsi	2	
tiyárí	ready	Farsi	1	
toál	towel	English	1	
toba	earlobe; obedience	Arabic	1	
tok	inner part	Balochi	1	
trappaŕ	bedding	Sindhi	2	
trund	fierce; quick	Balochi	5	
tuf	spit	Hindi-Urdu	2	
túfán	tornado	Arabic	1	
tuman	tribe	Urdu	5	
turund	fierce	Balochi	4	
ŧaep	tape	English	1	
ŧag	robber	Hindi-Urdu	4	
ŧap	tap	English	1	
ŧhap	wound	Balochi	4	
ŧík	okay	Hindi-Urdu	2	
ŧik ŧik	of a clock	English	14	
ŧín	square tin	English	2	
ŧíví	TV	English	4	
ŧop	cap	Hindi-Urdu	10	
umr-kaez	life sentence	Arabic	1	
vaeńŕá	anxious	Farsi	1	
vaeŕá	anxious	Farsi	1	
vaeŕáí	anxiety	Farsi	1	
vakíl	chancellor; advocate	Arabic	32	
válek	and upon you	Arabic	3	
válek salám	may peace be upon you	Arabic	2	
valekum salám	and may peace be upon you	Arabic	2	
válekum salám	and may peace be upon you	Arabic	5	
vám	loan	Farsi	4	
vámdár	in debt	Farsi	2	
vápár	trade; merchant	Hindi-Urdu	8	
váris	protector	Arabic	2	
várxatá	hesitant	Pashto	2	
vatan	home country	Arabic	5	
vatáx	living room; reception hall; guesthouse	Farsi	2	
vaxt o pás	time and section	Arabic, Farsi	1	
váxub	known	Arabic	1	
vazífa	scholarship	Arabic	1	
vazír	minister	Arabic	75	
viláyattí	foreign	Arabic	1	
xabaŕdár	beware	Arabic	1	
xadar	importance	Arabic	1	
xaerát	sacrifice; memorial feast	Arabic	15	
xaerátí	lowly	Arabic	1	
xańjar	dagger	Farsi	1	
xaŕc	expense	Urdu	4	
xarc o xarábát	expenses	Arabic	1	
xaŕca	expense	Urdu	1	
xás	especially	Arabic	1	
xátir	cause	Arabic	3	
xizmat	service	Arabic	8	
xon	murder	Farsi	7	
xorák	food	Farsi	1	
xoşá	bunch	Farsi	1	
xuáninda	student	Farsi	1	
xuár	destitute	Farsi	5	
xuárí	hard work	Farsi	9	
xudá	god	Farsi	63	
xudá háfiz	goodbye	Farsi, Arabic	4	
xún	murder	Farsi	3	
yá	or	Farsi	90	
yaksarí	loneliness	Farsi	3	
yát	memory	Farsi	5	
yátgár	memorable	Farsi	1	
yax	cold	Farsi	16	
zálim	cruel	Arabic	4	
zálim	tyrant	Arabic	2	
zamána-sází	popular in the era	Farsi	1	
zamín	earth	Farsi	3	
zamíndár	landlord	Farsi	3	
zamzír	chain	Farsi	4	
zańg	rust	Farsi	3	
zańgí	rusty	Farsi	6	
zár	extreme	Farsi	1	
zaŕdoí	jaundice	Farsi	1	
zát	being	Arabic	2	
zid	importunity	Arabic	1	
zikr	zikr chant	Arabic	1	
zímal	song	Balochi	1	
zimavár	responsible	Arabic	1	
zinda	alive	Farsi	10	
zirát	agriculture	Arabic	1	
ziyárat	paying visit	Arabic	2	
zor	powerful; fast	Farsi	22	
zukám	cold	Arabic	1	
